name,lon,lat,consumo
Acre,-69.873046875,-8.841651120809145,1080992
Amazonas,-66.62109375,-5.00339434502215,6141975
Tocantins,-49.306640625,-10.09867012060338,2418085
Mato Grosso,-56.51367187499999,-12.64033830684679,9458053
Bahia,-41.30859375,-10.919617760254685,25919748
Goias,-50.8447265625,-16.55196172197251,16490486
Mato Grosso do Sul,-53.876953125,-18.854310361889812,6142070
Pará,-54.140625,-4.34641127533318,18191677
Paraná,-51.5478515625,-24.046463999666567,32241530
Santa Catarina,-50.09765625,-26.941659545381505,26070759
Rio Grande Do Sul,-54.3603515625,-28.729130483430154,30425548
Rondônia,-63.45703124999999,-10.271681232946728,3247615
Distrito Federal,-47.8564453125,-15.760536148501288,6315381
São Paulo,-47.900390625,-22.187404991398775,132848390
Rio de Janeiro,-42.47314453125,-22.105998799750566,39243511
Paraíba,-36.826171875,-6.926426847059551,5586661
Roraima,-61.4794921875,2.152813583128846,930893
Amapá,-51.6357421875,1.7575368113083254,1074206
Sergipe,-37.4853515625,-10.444597722834875,3704986
Alagoas,-36.23291015625,-9.595333662946327,4575508
Pernambuco,-38.29833984375,-8.276727101164033,14555153
Rio Grande Do Norte,-36.84814453125,-5.703447982149503,5788607
Espirito Santo,-40.45166015625,-19.186677697957833,10462803
Minas Gerais,-44.31884765625,-18.250219977065594,55896355
Maranhão,-45.28564453125,-5.0909441750333855,7511255
Ceará,-39.6826171875,-4.8282597468669755,12279952
Piauí,-43.077392578125,-7.384257828309248,3663861